groupKey,slug,name,brandSlug,categorySlugs,materialSlugs,colorSlug,price,currency,discountPercent,description,sizeNames,sizeStocks,stock,images
adidas-responce-cl,adidas-responce-cl-white,Adidas «Response CL»,adidas,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-skidki-do-40|muzhchiny-obuv-gym,textile|leather,white,5900,RUB,,CL Adidas - это воплощение образа папиной обуви.,41|42|43|44|45,41:4|42:2|43:5|44:5|45:2,б,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079717/products/adidas/responce-cl/white/adidas-responce-cl.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079714/products/adidas/responce-cl/white/adidas-responce-cl-white%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079715/products/adidas/responce-cl/white/adidas-responce-cl-white%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079716/products/adidas/responce-cl/white/adidas-responce-cl-white%284%29.jpg"
adidas-retropy-e5,adidas-retropy-e5-black,Adidas Retropy E5 «Black»,adidas,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,textile,black,5500,RUB,,Кроссовки Adidas Retropy E5 – это повседневная модель в беговом стиле которые вписываются в любой образ.,41|42|43|44|45|46,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079725/products/adidas/retropy-e5/black/sneakers-ad-re5-black.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079721/products/adidas/retropy-e5/black/sneakers-ad-re5-black%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079723/products/adidas/retropy-e5/black/sneakers-ad-re5-black%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079724/products/adidas/retropy-e5/black/sneakers-ad-re5-black%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079724/products/adidas/retropy-e5/black/sneakers-ad-re5-black%285%29.jpg"
adidas-yeezy-boost-350-v2,adidas-yeezy-boost-350-v2-black,Adidas Yeezy Boost 350 V2 «Black»,adidas,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle|muzhchiny-obuv-gym,fabric,black,6500,RUB,,Самые популярые кроссовки Канье Веста в которых сочетаются ретро и современные элементы отлично подойдут под повседневные и спортивные образы.,36|37|38|39|40|41|42|43|44|45|46|47|48,36:2|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1|47:3|48:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079661/products/adidas/yeezy-boost/350%20v2/black/sneakers-ad-yz-boost-v2-black.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079657/products/adidas/yeezy-boost/350%20v2/black/sneakers-ad-yz-boost-v2-black%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079658/products/adidas/yeezy-boost/350%20v2/black/sneakers-ad-yz-boost-v2-black%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079659/products/adidas/yeezy-boost/350%20v2/black/sneakers-ad-yz-boost-v2-black%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079660/products/adidas/yeezy-boost/350%20v2/black/sneakers-ad-yz-boost-v2-black%285%29.jpg"
adidas-yeezy-boost-350-v2,adidas-yeezy-boost-350-v2-green,"Adidas Yeezy Boost 350 «Green-Orange» ",adidas,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle|muzhchiny-obuv-gym,fabric,green|orange,6500,RUB,,Самые популярые кроссовки Канье Веста в которых сочетаются ретро и современные элементы отлично подойдут под повседневные и спортивные образы.,36|37|38|39|40|41|42|43|44|45|46|47|48|49,36:2|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1|47:3|48:2|49:3,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079670/products/adidas/yeezy-boost/350%20v2/green/sneakers-ad-yz-boost-v2-green.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079666/products/adidas/yeezy-boost/350%20v2/green/sneakers-ad-yz-boost-v2-green%281%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079668/products/adidas/yeezy-boost/350%20v2/green/sneakers-ad-yz-boost-v2-green%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079668/products/adidas/yeezy-boost/350%20v2/green/sneakers-ad-yz-boost-v2-green%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079669/products/adidas/yeezy-boost/350%20v2/green/sneakers-ad-yz-boost-v2-green%284%29.jpg"
new-balance-1906r,new-balance-1906r-kith-black,New Balance 1906R «Kith Black»,new-balance,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-gym,textile,black,6900,RUB,,KITH x New Balance 1906 R 'Black' - идеальный выбор для активного образа жизни.,41|42|43|44|45,41:6|42:2|43:4|44:5|45:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079656/products/new-balance/1906R/kith-black/nb-1906R-kt.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079653/products/new-balance/1906R/kith-black/nb-1906R-kt%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079654/products/new-balance/1906R/kith-black/nb-1906R-kt%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079655/products/new-balance/1906R/kith-black/nb-1906R-kt%284%29.jpg"
new-balance-nb-x-loropiana,new-balance-nb-x-loropiana-white,New Balance x Loro Piana,new-balance,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,suede|textile,white,6900,RUB,,Кроссовки представляют собой эксклюзив ориентированный на производительность и олицетворяют комфорт и роскошь.,36|37|38|39|40|41|42|43|44|45|46|47|48|49,36:2|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto/q_auto/v1759079713/products/new-balance/NB-x-LoroPiana/white/sneakers-nb-lp.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto/q_auto/v1759079710/products/new-balance/NB-x-LoroPiana/white/sneakers-nb-lp%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto/q_auto/v1759079711/products/new-balance/NB-x-LoroPiana/white/sneakers-nb-lp%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto/q_auto/v1759079712/products/new-balance/NB-x-LoroPiana/white/sneakers-nb-lp%284%29.jpg"""
nike-air-max-90,nike-air-max-90-black,Nike Air Max 90 Black,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,leather|textile|fabric,black,5500,RUB,,Ориентированы на людей ведущих активный образ жизни и ценящих комфорт и стиль Они подойдут как для молодёжи так и для более взрослой аудитории,36|37|38|39|40|41|42|43|44|45,36:1|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079665/products/nike/air-max/90/black/sneakers-nk-air-max-90-black.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079662/products/nike/air-max/90/black/sneakers-nk-air-max-90-black%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079663/products/nike/air-max/90/black/sneakers-nk-air-max-90-black%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079664/products/nike/air-max/90/black/sneakers-nk-air-max-90-black%284%29.jpg"
nike-air-jordan-1l,nike-nike-air-jr-nike-air-jordan-1l-black-blue,Nike Air Jordan 1 Low «Black-Blue»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-lifestyle,leather,black|blue,7900,RUB,,Air Jordan 1 Low «University Blue / Black» - это образ вдохновленный студентами для версии с низким верхом первой фирменной обуви Майкла Джордана. «University Blue / Black» несомненно отсылает к каблукам UNC Tar поскольку в их дизайне использован школьный оттенок голубого.,41|42|43|44|45|46,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079687/products/nike/nike-air-jr/nike-air-jordan-1L/black-blue/sneakes-nk-air-jr-1l-bb.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079682/products/nike/nike-air-jr/nike-air-jordan-1L/black-blue/sneakes-nk-air-jr-1l-bb%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079683/products/nike/nike-air-jr/nike-air-jordan-1L/black-blue/sneakes-nk-air-jr-1l-bb%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079684/products/nike/nike-air-jr/nike-air-jordan-1L/black-blue/sneakes-nk-air-jr-1l-bb%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079685/products/nike/nike-air-jr/nike-air-jordan-1L/black-blue/sneakes-nk-air-jr-1l-bb%285%29.jpg"
nike-air-jordan-1l,nike-nike-air-jr-nike-air-jordan-1l-dior,Nike AJ 1 Low «Dior»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-lifestyle,leather,white|grey,8900,RUB,,Nike Air Jordan 1 Low Dior — эксклюзивная модель объединяющая легендарный дизайн Air Jordan с роскошными деталями Dior.,36|37|38|39|40|41|42|43|44|45,36:1|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079675/products/nike/nike-air-jr/nike-air-jordan-1L/dior/nike-air-jr-1l-dior.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079671/products/nike/nike-air-jr/nike-air-jordan-1L/dior/nike-air-jr-1l-dior%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079672/products/nike/nike-air-jr/nike-air-jordan-1L/dior/nike-air-jr-1l-dior%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079673/products/nike/nike-air-jr/nike-air-jordan-1L/dior/nike-air-jr-1l-dior%284%29.jpg"
nike-air-jordan-1l,nike-nike-air-jr-nike-air-jordan-1l-gold-swoosh,Nike Air Jordan 1 Low «Gold»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-lifestyle,leather,black|gold,7900,RUB,,Nike Air Jordan 1 – с этой модели начиналась история Jordan Brand. Появившиеся на свет в 1988 году они поразили своим ярким дизайном не применяемым ни в одной баскетбольной обуви того времени. За что и штрафовали Майкла на 5000 $ каждую игру когда он появлялся в “единичках” . Вся эта шумиха спровоцировала огромный интерес к модели и Nike это было на руку. В итоге толпы фанатов выстраивались в очередь чтобы заполучить “запрещенную” модель Майкла Джордана.,37|38|39|40|41|42|43|44|45,37:3|38:5|39:2|40:1|41:6|42:2|43:4|44:5|45:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759182443/products/nike/nike-air-jr/nike-air-jordan-1L/gold-swoosh/sn-nk-aj-1l-g.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759182438/products/nike/nike-air-jr/nike-air-jordan-1L/gold-swoosh/sn-nk-aj-1l-g%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759182440/products/nike/nike-air-jr/nike-air-jordan-1L/gold-swoosh/sn-nk-aj-1l-g%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759182441/products/nike/nike-air-jr/nike-air-jordan-1L/gold-swoosh/sn-nk-aj-1l-g%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759182443/products/nike/nike-air-jr/nike-air-jordan-1L/gold-swoosh/sn-nk-aj-1l-g%285%29.jpg"
nike-air-jordan-1l,nike-nike-air-jr-nike-air-jordan-1l-steel-blue,Nike Air Jordan 1 Low «Steel-Blue»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,leather,white|blue,7900,RUB,,Новая версия Air Jordan 1 Low выполнена из белой кожи контрастирующей с кожаными накладками цвета «горизонтально-голубой».,36|37|38|39|40|41|42|43|44|45,36:1|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079677/products/nike/nike-air-jr/nike-air-jordan-1L/steel-blue/sn-nk-aj-1L-sblue.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079676/products/nike/nike-air-jr/nike-air-jordan-1L/steel-blue/sn-nk-aj-1L-sblue%282%29.jpg"
nike-air-jordan-1ts,nike-nike-air-jr-nike-air-jordan-1ts-brown-darkmacha,Nike Air Jordan 1 Travis Scott «Dark Mocha»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-limit|muzhchiny-obuv-lifestyle,suede|leather,brown,7900,RUB,,Эта переосмысленная версия Air Jordan 1 Low — самая популярная коллаборация 2019 года.,37|38|39|40|41|42|43|44|45,37:3|38:5|39:2|40:1|41:6|42:2|43:4|44:5|45:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079696/products/nike/nike-air-jr/nike-air-jordan-1ts/brown-darkMacha/nike-air-jordan-1ts-brown-darkMacha.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079693/products/nike/nike-air-jr/nike-air-jordan-1ts/brown-darkMacha/nike-air-jordan-1ts-brown-darkMacha%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079694/products/nike/nike-air-jr/nike-air-jordan-1ts/brown-darkMacha/nike-air-jordan-1ts-brown-darkMacha%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079695/products/nike/nike-air-jr/nike-air-jordan-1ts/brown-darkMacha/nike-air-jordan-1ts-brown-darkMacha%284%29.jpg"
nike-air-jordan-1ts,nike-nike-air-jr-nike-air-jordan-1ts-brown,Nike Air Jordan 1 TS «Brown»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,suede|leather,brown,8900,RUB,,Кроссовки Майкла Джордана - Air Jordan 1 Retro. С этой модели начиналась история Jordan Brand. Появившиеся на свет в 1988 году они поразили своим ярким дизайном не применяемым ни в одной баскетбольной обуви того времени.,37|38|39|40|41|42|43|44|45|46,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079691/products/nike/nike-air-jr/nike-air-jordan-1ts/brown/nike-air-jordan-1ts-brown.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079688/products/nike/nike-air-jr/nike-air-jordan-1ts/brown/nike-air-jordan-1ts-brown%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079688/products/nike/nike-air-jr/nike-air-jordan-1ts/brown/nike-air-jordan-1ts-brown%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079690/products/nike/nike-air-jr/nike-air-jordan-1ts/brown/nike-air-jordan-1ts-brown%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079690/products/nike/nike-air-jr/nike-air-jordan-1ts/brown/nike-air-jordan-1ts-brown%285%29.jpg"
nike-air-jordan-1ts,nike-nike-air-jr-nike-air-jordan-1ts-fragment,Nike Air Jordan 1 Low TS «Fragment»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,leather,white|blue,8900,RUB,,Кроссовки Майкла Джордана - Air Jordan 1 Retro. С этой модели начиналась история Jordan Brand. Появившиеся на свет в 1988 году они поразили своим ярким дизайном не применяемым ни в одной баскетбольной обуви того времени.,37|38|39|40|41|42|43|44|45|46|47,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1|47:3,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079705/products/nike/nike-air-jr/nike-air-jordan-1ts/fragment/sn-nk-aj-1ts-f.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079704/products/nike/nike-air-jr/nike-air-jordan-1ts/fragment/sn-nk-aj-1ts-f%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759183914/products/nike/nike-air-jr/nike-air-jordan-1ts/fragment/sn-nk-aj-1ts-f%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759183915/products/nike/nike-air-jr/nike-air-jordan-1ts/fragment/sn-nk-aj-1ts-f%284%29.jpg"
nike-nike-dunk-lh-ns,nike-nike-dunk-lh-ns-blue,NIKE DUNK LOW HONDA NSR ROTHMANS,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe|muzhchiny-rekomenduemoe-limit|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-lifestyle,leather,blue|white,6500,RUB,,Рожденные для гонок. Созданные чтобы править улицами. Развивайте свой стиль вместе с Rothmans...,41|42|43|44|45,36:1|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079730/products/nike/nike-dunk/lh-ns/blue/nk-d-lh-nr-blue.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079726/products/nike/nike-dunk/lh-ns/blue/nk-d-lh-nr-blue%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079727/products/nike/nike-dunk/lh-ns/blue/nk-d-lh-nr-blue%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079728/products/nike/nike-dunk/lh-ns/blue/nk-d-lh-nr-blue%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079729/products/nike/nike-dunk/lh-ns/blue/nk-d-lh-nr-blue%285%29.jpg"
nike-nike-dunk-otomo-katsuhiro,nike-nike-dunk-otomo-katsuhiro-brown,Nike Dunk «Otomo Katsuhiro» Brown,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-best-sellers|muzhchiny-obuv-lifestyle,leather,brown|white,7900,RUB,,это стильные мужские кроссовки которые идеально подходят для городского использования.,41|42|43|44|45|46,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2|46:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079734/products/nike/nike-dunk/otomo-katsuhiro/brown/nk-d-ok-brown.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079731/products/nike/nike-dunk/otomo-katsuhiro/brown/nk-d-ok-brown%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079732/products/nike/nike-dunk/otomo-katsuhiro/brown/nk-d-ok-brown%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079732/products/nike/nike-dunk/otomo-katsuhiro/brown/nk-d-ok-brown%284%29.jpg"
nike-nike-dunk-sb,nike-nike-dunk-sb-army-black-khaki,Nike Dunk SB «Army/Black Khaki»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe-skidki-do-40|muzhchiny-obuv-lifestyle,leather,green,5900,RUB,,Nike Dunk несомненно входит в пятерку лучших силуэтов когда-либо созданных Nike. Впервые она появилась в 1985 году как следует из названия в виде баскетбольной обуви с высоким берцем.,41|42|43|44|45|46,37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079721/products/nike/nike-dunk/SB/army:black-khaki/sn-nk-d-sb-abkh.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079718/products/nike/nike-dunk/SB/army:black-khaki/sn-nk-d-sb-abkh%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079719/products/nike/nike-dunk/SB/army:black-khaki/sn-nk-d-sb-abkh%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079720/products/nike/nike-dunk/SB/army:black-khaki/sn-nk-d-sb-abkh%284%29.jpg"
nike-nike-dunk-sb,nike-nike-dunk-sb-m3,Nike Dunk «Stussy&BMW M3»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-rekomenduemoe|muzhchiny-rekomenduemoe-limit|muzhchiny-rekomenduemoe-novoe-postuplenie|muzhchiny-obuv-lifestyle,leather,white|green,6500,RUB,,Nike Dunk Stussy BMW M3 – это стильные мужские кроссовки которые идеально подходят для городского использования.,41|42|43|44|45,36:1|37:5|38:3|39:2|40:2|41:4|42:2|43:5|44:5|45:2,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759188686/products/nike/nike-dunk/SB/M3/sn-nk-dunk-sb-m3.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079706/products/nike/nike-dunk/SB/M3/sn-nk-dunk-sb-m3%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759188683/products/nike/nike-dunk/SB/M3/sn-nk-dunk-sb-m3%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759188684/products/nike/nike-dunk/SB/M3/sn-nk-dunk-sb-m3%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759188685/products/nike/nike-dunk/SB/M3/sn-nk-dunk-sb-m3%285%29.jpg"
nike-nike-dunk-sb,nike-nike-dunk-sb-yutohorigome-white-gray,Nike Dunk SB «Yuto Horigome»,nike,muzhchiny|muzhchiny-obuv|muzhchiny-obuv-vsya-obuv|muzhchiny-obuv-lifestyle,suede|leather,white|gray,7900,RUB,,Представляем Nike SB Dunk Low Yuto Horigome — это не просто кроссовки а символ стиля и комфорта.,41|42|43|44|45|46,41:4|42:2|43:5|44:5|45:2|46:1,0,"https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079738/products/nike/nike-dunk/SB/YutoHorigome/white-gray/nike-drunk-sb-YutoHorigome.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079735/products/nike/nike-dunk/SB/YutoHorigome/white-gray/nike-drunk-sb-YutoHorigome%282%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079736/products/nike/nike-dunk/SB/YutoHorigome/white-gray/nike-drunk-sb-YutoHorigome%283%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079738/products/nike/nike-dunk/SB/YutoHorigome/white-gray/nike-dunk-sb-YutoHorigome%284%29.jpg|https://res.cloudinary.com/dgv1wvknj/image/upload/f_auto,q_auto/v1759079739/products/nike/nike-dunk/SB/YutoHorigome/white-gray/nike-dunk-sb-YutoHorigome%285%29.jpg"